"schema_name","object_name","object_type","ordinal_position","column_name","data_type","is_nullable","column_default","is_primary_key","indexes_for_column","table_indexes"
"dm","dm_ad_results_daily_v3","materialized view",1,"date","date","YES",NULL,False,"ux_dm_ad_results_daily_v3","ux_dm_ad_results_daily_v3 (date, platform, campaign_key, creative_key) [unique]"
"dm","dm_ad_results_daily_v3","materialized view",2,"platform","text","YES",NULL,False,"ux_dm_ad_results_daily_v3","ux_dm_ad_results_daily_v3 (date, platform, campaign_key, creative_key) [unique]"
"dm","dm_ad_results_daily_v3","materialized view",3,"campaign_key","text","YES",NULL,False,"ux_dm_ad_results_daily_v3","ux_dm_ad_results_daily_v3 (date, platform, campaign_key, creative_key) [unique]"
"dm","dm_ad_results_daily_v3","materialized view",4,"creative_key","text","YES",NULL,False,"ux_dm_ad_results_daily_v3","ux_dm_ad_results_daily_v3 (date, platform, campaign_key, creative_key) [unique]"
"dm","dm_ad_results_daily_v3","materialized view",5,"impressions","bigint","YES",NULL,False,NULL,"ux_dm_ad_results_daily_v3 (date, platform, campaign_key, creative_key) [unique]"
"dm","dm_ad_results_daily_v3","materialized view",6,"clicks","bigint","YES",NULL,False,NULL,"ux_dm_ad_results_daily_v3 (date, platform, campaign_key, creative_key) [unique]"
"dm","dm_ad_results_daily_v3","materialized view",7,"cost","numeric(18,6)","YES",NULL,False,NULL,"ux_dm_ad_results_daily_v3 (date, platform, campaign_key, creative_key) [unique]"
"dm","dm_ad_results_daily_v3","materialized view",8,"cpc","numeric(14,4)","YES",NULL,False,NULL,"ux_dm_ad_results_daily_v3 (date, platform, campaign_key, creative_key) [unique]"
"dm","dm_ad_results_daily_v3","materialized view",9,"cpm","numeric(14,4)","YES",NULL,False,NULL,"ux_dm_ad_results_daily_v3 (date, platform, campaign_key, creative_key) [unique]"
"dm","dm_ad_results_daily_v3","materialized view",10,"contracts_total","bigint","YES",NULL,False,NULL,"ux_dm_ad_results_daily_v3 (date, platform, campaign_key, creative_key) [unique]"
"dm","dm_ad_results_daily_v3","materialized view",11,"revenue_total","numeric(18,2)","YES",NULL,False,NULL,"ux_dm_ad_results_daily_v3 (date, platform, campaign_key, creative_key) [unique]"
"dm","dm_ad_results_daily_v3","materialized view",12,"share_cost_in_platform","numeric(12,6)","YES",NULL,False,NULL,"ux_dm_ad_results_daily_v3 (date, platform, campaign_key, creative_key) [unique]"
"dm","dm_ad_results_daily_v3","materialized view",13,"share_revenue_in_platform","numeric(12,6)","YES",NULL,False,NULL,"ux_dm_ad_results_daily_v3 (date, platform, campaign_key, creative_key) [unique]"
"dm","dm_ad_results_daily_v3","materialized view",14,"product_key","text","YES",NULL,False,NULL,"ux_dm_ad_results_daily_v3 (date, platform, campaign_key, creative_key) [unique]"
"dm","dm_ad_results_daily_v3","materialized view",15,"contracts","bigint","YES",NULL,False,NULL,"ux_dm_ad_results_daily_v3 (date, platform, campaign_key, creative_key) [unique]"
"dm","dm_ad_results_daily_v3","materialized view",16,"revenue","numeric(18,2)","YES",NULL,False,NULL,"ux_dm_ad_results_daily_v3 (date, platform, campaign_key, creative_key) [unique]"
"dm","dm_ad_results_daily_v3","materialized view",17,"cost_alloc_by_revenue","numeric(18,6)","YES",NULL,False,NULL,"ux_dm_ad_results_daily_v3 (date, platform, campaign_key, creative_key) [unique]"
"dm","dm_ad_results_daily_v3","materialized view",18,"cost_alloc_by_contracts","numeric(18,6)","YES",NULL,False,NULL,"ux_dm_ad_results_daily_v3 (date, platform, campaign_key, creative_key) [unique]"
"dm","dm_ad_results_daily_v3","materialized view",19,"creative_title","text","YES",NULL,False,NULL,"ux_dm_ad_results_daily_v3 (date, platform, campaign_key, creative_key) [unique]"
